Turma,Você trabalha?,Quantas horas por dia você pode acessar a internet para estudo?,"Você já utilizou alguma linguagem de programação, qual(is)?",Qual Bacharelado Interdisciplinar você ingressou?,Quando você ingressou na instituição?
A1,Sim,3,"Java, Python",BCT,2025
A1,Sim,3,"Java, Python, Html",BCT,2025
A1,Sim,2,"Java, Python",BCT,2025
A1,Sim,Mais que 4 horas por dia,"Python, CPP (C++)",BCT,2024
A2,Sim,2,"Python, C",BCT,2024
A2,Sim,2,"JavaScript, Python, R",BCT,2023
A2,Não,Mais que 4 horas por dia,"Java, Python",BCT,2025
A2,Não,Mais que 4 horas por dia,"Java, Python, C++",BCT,2025
A2,Não,Mais que 4 horas por dia,"Java, Python",BCT,2025
A2,Não,Mais que 4 horas por dia,"Python, R",BCT,2025
A2,Sim,4,Python,BCT,2025
A2,Sim,4,"JavaScript, Python",BCT,2025
A2,Sim,1,"Java, Python, CPP (C++)",BCT,2025
A1,Sim,1,Nunca utilizei,BCT,2025
A1,Sim,Mais que 4 horas por dia,"JavaScript, Python",BCT,2025
A1,Sim,1,Nunca utilizei,BCT,2025
A1,Sim,1,C,BCT,2022
A2,Sim,2,Python,BCT,2024
A2,Sim,1,"Java, Python",BCT,2025
A1,Sim,3,Python,BCT,2025
A1,Não,Mais que 4 horas por dia,C,BCT,2024
A1,Sim,2,"Python, Matlab",BCT,2024
A1,Não,2,"Python, R",BCT,2024
A2,Sim,3,Python,BCT,2022
A1,Sim,1,"Java, Python, C, C++",BCT,2024
A2,Sim,1,Python,BCT,2022
A1,Sim,4,"Java, Python, C, CPP (C++)",BCT,2025
A1,Sim,1,"Java, JavaScript, Python, C, CPP (C++), C# e PHP ",BCT,2025
